customer_id,card_number,card_type,amount,fraud_status
2e6d93c9,4736827521058643,Visa,3291.82,Legit
ffa34bc9,4223402466699072,MasterCard,4344.32,Fraud
aedf992a,4626189054888836,Amex,1048.48,Legit
9dab8e84,4014880834477078,MasterCard,929.01,Fraud
6d47f0b7,4425650661294216,Visa,4423.25,Fraud
d8f2594d,4126987187389944,Visa,3223.58,Legit
5de2d26d,4764704787159180,Visa,1973.98,Legit
b7e49320,4802529931960082,MasterCard,846.8,Fraud
0c5a5191,4965437419722995,Visa,2537.34,Legit
0e0da0c5,4465589760620932,Amex,859.99,Fraud
97404c21,4977528365222927,MasterCard,3526.49,Fraud
d480b450,4163788192317118,Amex,617.63,Fraud
ad2a16e2,4168592716157603,Amex,3764.21,Legit
4a9f4e0b,4699225930187910,Visa,1700.09,Legit
d8c315f2,4368963041858538,Visa,3564.54,Fraud
916828c0,4180346059115007,Amex,3565.1,Legit
aaecdb69,4761231769246218,Amex,1811.37,Fraud
140d0c2e,4004945981636180,MasterCard,570.48,Fraud
a2db4bbf,4389256875091325,Amex,4649.24,Fraud
92e72bce,4078175557776100,Visa,2566.46,Fraud
c764b28e,4058441290791424,Visa,207.58,Legit
e29f1ab5,4693347841888307,Visa,552.0,Legit
3fc91ea5,4409157498655825,Amex,16.61,Legit
5ed7ffb3,4513434539257546,Amex,809.61,Legit
717a5111,4120558549203382,MasterCard,4734.31,Fraud
a25961ec,4793213255413843,Amex,509.26,Legit
36796294,4010930210888770,Visa,369.8,Legit
a7111206,4713719372239751,Amex,1472.68,Fraud
a9aeed46,4984703725710389,MasterCard,2396.28,Fraud
e9eef0a0,4836476827509443,Amex,1603.29,Fraud
ef951aa6,4471971333776593,MasterCard,724.16,Legit
a4cac4ba,4991326513050528,MasterCard,1637.31,Legit
61be659c,4258180941919871,Amex,2521.56,Legit
3afc2c70,4573179253500244,Amex,3708.29,Fraud
da821af8,4850342265049022,Amex,246.99,Fraud
bc0a3b8f,4450035100234874,Visa,4838.76,Legit
6e6ac352,4073188695166949,Amex,4598.77,Fraud
75ae4d00,4631185002835153,Visa,2679.57,Legit
726c3256,4744133891476444,Visa,378.5,Fraud
ed3884d1,4919920439139560,Amex,3036.91,Legit
9acbf812,4352311702732030,Visa,3140.65,Fraud
586ea10a,4287233053898006,MasterCard,2696.64,Fraud
40c6bb80,4474807868473197,Amex,2518.4,Legit
9e4be573,4420100993998527,Visa,736.04,Legit
3a819663,4347539102992618,MasterCard,1045.28,Fraud
4ee6e81d,4205458301275165,Amex,671.74,Legit
22160953,4195566259209382,Visa,1305.74,Fraud
6eaeeab8,4787264773211142,MasterCard,3605.26,Legit
57cac06b,4680269848924197,Amex,1966.52,Legit
0baaf450,4840799245310860,MasterCard,4540.15,Legit
85c25c22,4537290473184431,Amex,4252.83,Legit
87d1b8f1,4533441027424872,Amex,3874.5,Fraud
2e3e2e18,4583625466574713,MasterCard,462.27,Fraud
904371bd,4584218089552651,Visa,2129.28,Legit
2db97c32,4897651956746513,Visa,730.93,Fraud
97404c21,4727608195195593,Amex,322.62,Fraud
ead35776,4520025743745663,Visa,3040.47,Legit
9d203ccf,4423154176008734,MasterCard,4672.76,Legit
12dddf02,4163081748135840,MasterCard,514.29,Fraud
06a0bd54,4808573227333517,Visa,1636.12,Fraud
0d0396d7,4586242950994444,MasterCard,4058.1,Legit
6562583b,4450574526836995,MasterCard,3872.73,Legit
72bb3c8c,4868219540293346,Amex,190.7,Fraud
9f7a64ab,4967262119399516,Amex,993.89,Fraud
a8d36ea1,4984593831788928,Visa,166.0,Legit
583f2cf9,4815597133372831,MasterCard,633.88,Fraud
971c295d,4899061691034522,Amex,2652.07,Fraud
f079d107,4085005450516181,Visa,908.15,Legit
88d2fbc7,4349841323913045,Amex,1507.88,Fraud
e5bda18f,4023668570008655,Visa,967.3,Fraud
0ad7f50c,4721336957741224,MasterCard,4624.12,Legit
cdfc7674,4641540671870196,Amex,1671.21,Fraud
6bfeeee0,4031203787376529,Amex,3331.45,Legit
606491df,4536773500796062,MasterCard,168.07,Legit
f88c822a,4618502254777601,Visa,217.12,Fraud
6678854a,4854601437981016,MasterCard,2162.97,Fraud
87372604,4598362582399527,Amex,4192.21,Fraud
5b08ee48,4498631195888220,Amex,1640.71,Fraud
32cbc46d,4923612842550400,MasterCard,4616.04,Legit
fa0d142d,4629896524908849,MasterCard,2295.64,Legit
9248d2e1,4029599759630874,Visa,2617.61,Legit
faa266ed,4459793729471795,Visa,2522.51,Legit
6eaa5c94,4661889653068773,Visa,338.05,Legit
37eccfdc,4208583291768148,MasterCard,2841.8,Legit
efb03e3b,4061655449777332,MasterCard,1982.85,Fraud
9b2518a6,4794003929080626,Visa,990.38,Legit
ab8fd2c4,4896993000013842,Amex,577.71,Fraud
cef14ba1,4818008351788622,Amex,4737.27,Fraud
3114bd17,4796492096195705,Visa,4276.4,Fraud
f91d2dc2,4801673289821818,Visa,215.04,Legit
e4194190,4260653882251260,Amex,2353.88,Fraud
2c0f666f,4009069784266031,Visa,3156.37,Fraud
95a2ffa5,4400049762622541,Visa,896.88,Legit
b512179f,4037987246200015,Amex,1868.89,Legit
610ff7fa,4269758883209240,Visa,963.68,Fraud
83f327cf,4501298308958723,Amex,4987.88,Fraud
6c192057,4684913143043411,Amex,1315.04,Fraud
3389fa98,4683465868827966,Amex,3412.07,Legit
f4c1f56d,4284010835558709,Amex,1298.32,Legit
fc07bc88,4133812804021400,MasterCard,3851.13,Fraud
83cdd0a9,4924182223466963,Amex,1225.76,Fraud
ce02fdae,4895685339752741,MasterCard,700.78,Fraud
b9b60dc4,4835237874315048,MasterCard,1948.42,Legit
2f26c16b,4747917209554406,MasterCard,3876.95,Fraud
27c88439,4138227000205175,MasterCard,592.45,Fraud
5d3f784b,4300897268114855,MasterCard,2616.11,Legit
d5f7fc48,4374909185715762,MasterCard,3347.79,Fraud
82c4320c,4470583246745135,Visa,2167.61,Fraud
fc1e2c7a,4805705818894787,MasterCard,2512.01,Fraud
45cfeda9,4889926282926009,MasterCard,4728.59,Legit
d4719294,4945744802679343,MasterCard,3395.15,Legit
77757fd8,4243634347836582,MasterCard,543.82,Legit
9c5deb75,4014242353086964,Amex,1290.75,Fraud
3c07969b,4672429756970778,Amex,3075.72,Fraud
1fa3691a,4426710762665349,MasterCard,429.32,Legit
d252f5ff,4014480692320146,MasterCard,3124.13,Legit
7c7871df,4218059115295780,Visa,805.14,Fraud
5c193460,4705167220394222,Amex,2161.45,Legit
0af8d98d,4829517839880170,Visa,3569.48,Fraud
83f92bcf,4376078155227113,Visa,4019.87,Legit
9be39a8e,4073842576853005,Visa,2498.08,Fraud
b985ea90,4559706998909211,Visa,1897.91,Fraud
1176c86b,4086390173681150,Amex,659.44,Fraud
577b18de,4872855689695298,Amex,2213.68,Fraud
7848a768,4400358667541080,Visa,2825.28,Fraud
28174878,4284169847681451,Visa,582.23,Fraud
4dcae91f,4863465529322300,Amex,1797.26,Legit
8db73824,4278526858872121,Visa,2023.44,Fraud
7019b728,4777389863830618,Visa,4040.7,Fraud
d976ffb7,4863173731872043,MasterCard,188.82,Legit
74943917,4329591985469091,MasterCard,3945.44,Fraud
352c3b9f,4835724937257747,Visa,3813.88,Legit
e7c16b98,4700953157747226,MasterCard,3950.8,Fraud
1b47d1bb,4762501593337113,MasterCard,277.82,Legit
40a70728,4496406041529365,MasterCard,801.37,Legit
9b7bac3e,4170363378048712,Amex,582.98,Legit
96759a9d,4500724028683409,Amex,2564.91,Fraud
33c20506,4248563227666576,Visa,1534.36,Legit
abd198f9,4129682337768132,Visa,1946.95,Fraud
d394045a,4747176277910434,Visa,3587.28,Legit
a75e7d2d,4670870872132276,Visa,4708.79,Legit
ba70f982,4924836003081769,Amex,4784.3,Fraud
9742510e,4974301073532133,Visa,821.72,Legit
ee286399,4245342191168346,MasterCard,1180.95,Fraud
41e5c052,4817987749935527,MasterCard,2884.26,Legit
e9b0f857,4779084747706575,MasterCard,3473.04,Fraud
f0d8215b,4615433143463299,Visa,3725.67,Fraud
6bade9f5,4699683716174751,Amex,2876.01,Fraud
e4080fb3,4958031772954169,MasterCard,2416.89,Fraud
f9934666,4209250352729968,Amex,2706.17,Legit
a7996d76,4272329079747495,Amex,1641.16,Fraud
ae575c2a,4546751809694947,Visa,1492.03,Fraud
8c3969ba,4421366758078263,Visa,1917.12,Legit
ddeb6da1,4851231377493088,MasterCard,3796.6,Legit
dc12df71,4204724607600146,Visa,3052.35,Legit
afad8179,4758929646612495,MasterCard,517.93,Fraud
5cb7a8cb,4895213070308787,Visa,3185.31,Fraud
d2efb3a5,4122469627110929,MasterCard,2285.92,Fraud
db977d0a,4888266734832815,Visa,2382.16,Legit
a6950af7,4667932333740462,MasterCard,1841.7,Fraud
7b998dcf,4953425839546429,Visa,731.0,Legit
39426e8c,4088007434840924,MasterCard,1267.4,Fraud
a2f1d374,4510355225715385,Amex,3990.85,Legit
def75224,4180251542599058,MasterCard,4971.56,Legit
0bd45a3a,4443865357639346,MasterCard,4948.79,Legit
d6f72ca9,4898002162597796,MasterCard,4793.84,Legit
6757540d,4287849614936116,Visa,1252.93,Legit
c6c86fa4,4648954779667078,Amex,3344.71,Legit
3d90f29e,4529376467073670,MasterCard,2581.92,Fraud
c4dba476,4884596661986372,Visa,4012.43,Fraud
2a5acb12,4749456977481417,MasterCard,2867.81,Legit
d9be9681,4033534065874910,MasterCard,4058.7,Fraud
6c37ff41,4958976559858993,Amex,2601.34,Legit
607cd72f,4968371510399766,Visa,2911.89,Fraud
c9b2c311,4577568508926392,MasterCard,3585.02,Fraud
8b7fa7a1,4996994891687859,MasterCard,1003.87,Fraud
733172fb,4423866060276073,Amex,4792.44,Legit
b6f86ed2,4369881142215615,MasterCard,3632.28,Legit
64636fef,4761179797890772,Visa,626.35,Fraud
aa2b209a,4606825545847261,MasterCard,2507.4,Fraud
4852c039,4628075062261819,Amex,1918.15,Legit
ad94fcdf,4451893055873479,Visa,352.12,Legit
e35358bf,4837671318889226,Amex,4164.96,Legit
725a9c48,4635168850300310,MasterCard,3796.07,Fraud
53a980fe,4683790577874888,MasterCard,422.85,Legit
31768772,4703570218545774,Amex,4595.37,Legit
3f1641e7,4438588207826346,Visa,4047.66,Legit
5baf8c54,4227461357779738,Visa,3014.39,Legit
702a76aa,4970763191502443,Visa,3828.64,Legit
403536e0,4379218273822729,Visa,2704.79,Legit
b33af09e,4451514852082607,Amex,1175.92,Fraud
c2a2ffe4,4732039209714596,MasterCard,1230.15,Legit
d3268918,4537317345883823,Visa,4354.6,Legit
5cc7a399,4006918184074820,MasterCard,2534.44,Fraud
40398215,4146552448010212,MasterCard,4735.76,Fraud
7b09bb58,4604318205729716,Amex,3355.77,Fraud
a6a1acef,4682127792633107,Amex,2419.18,Fraud
a705b75b,4470633762066067,Visa,4176.8,Legit
87e43f7d,4068598222648507,Visa,1404.57,Legit
0eb1cccc,4318874228753585,Amex,227.81,Legit
76cf7783,4360453378807975,Visa,4701.47,Legit
0e42c19b,4930086783322023,Amex,3001.12,Legit
8652f7a3,4603648619813115,MasterCard,3753.14,Fraud
889216c7,4370759012005174,MasterCard,4324.39,Fraud
df2c920d,4546583249047265,Amex,1445.3,Legit
40372ca5,4265678750881133,Visa,1215.98,Legit
1c8cb413,4667878359614182,MasterCard,1630.24,Legit
bc523b53,4349763311013721,Amex,3461.79,Fraud
86441878,4131865899134977,Visa,4087.89,Fraud
49630373,4455648414920973,Amex,3037.25,Fraud
b4d27ab6,4067885196971747,MasterCard,4323.87,Legit
3f3b9235,4384991237595317,MasterCard,1453.32,Legit
2aa7aed1,4774420841175041,Amex,1049.18,Legit
b56bcc9e,4096451503518807,Visa,3446.73,Legit
4e329a96,4162510645297171,Amex,3189.35,Fraud
7a02332b,4979568058672952,Visa,4136.89,Fraud
60c19a59,4209946214986064,MasterCard,2925.69,Fraud
44651549,4522331956237036,MasterCard,1345.85,Legit
a3e8c1f8,4904632115061185,MasterCard,4421.94,Legit
413507de,4666295158086820,Amex,67.51,Fraud
eb65ad5d,4194298202233191,MasterCard,4211.96,Legit
